Designator,Mid X,Mid Y,Layer,Rotation
D1,19.45,-25.33,bottom,180
D2,25.05,-43.28,bottom,180
D3,32.47,-61.42,bottom,180
D4,55.14,-61.47,bottom,180
D5,38.72,-25.34,bottom,180
D6,42.95,-43.36,bottom,180
D7,48.78,-61.39,bottom,180
D8,75.28,-61.28,bottom,180
D9,59.01,-25.26,bottom,180
D10,60.99,-43.31,bottom,180
D11,67.545,-61.35,bottom,180
D12,92.59,-61.3,bottom,180
D13,74.71,-25.3,bottom,180
D14,77.91,-43.33,bottom,180
D15,86.43,-61.33,bottom,180
D16,143.235,-61.28,bottom,180
D17,80.59,-25.29,bottom,180
D18,96.94,-43.31,bottom,180
D19,105.795,-61.14,bottom,180
D20,161.15,-61.24,bottom,180
D21,130.65,-25.28,bottom,180
D22,121.855,-43.35,bottom,180
D23,131.24,-61.31,bottom,180
D24,179.36,-61.33,bottom,180
D25,148.71,-25.31,bottom,180
D26,158.86,-43.32,bottom,180
D27,139.92,-43.34,bottom,180
D28,149.99,-61.31,bottom,180
D29,154.77,-25.29,bottom,180
D30,176.92,-43.38,bottom,180
D31,185.48,-61.36,bottom,180
D32,167.43,-61.34,bottom,180
D33,172.7,-25.33,bottom,180
D34,189.71,-25.38,bottom,180
D35,193.8,-43.32,bottom,180
D36,202.37,-61.28,bottom,180